"","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min_Price","Max_Price","Country"
"27","Lung King Heen","Hong Kong","Cantonese",114.1580538,22.2860122,"3 MICHELIN Stars","Worthy of a special journey",98.8,387.4,"Hong Kong"
"28","L'Atelier de Joël Robuchon","Hong Kong","French Contemporary",114.15816,22.281199,"3 MICHELIN Stars","Worthy of a special journey",88.4,338,"Hong Kong"
"29","Azurmendi","Larrabetzu","Creative",-2.81454,43.26065,"3 MICHELIN Stars","Worthy of a special journey",295.75,295.75,"Spain"
"30","Martín Berasategui","Lasarte - Oria","Creative",-2.0152402,43.2664755,"3 MICHELIN Stars","Worthy of a special journey",260.26,343.07,"Spain"
"31","Aponiente","El Puerto de Santa María","Creative, Innovative",-6.2164435,36.6033273,"3 MICHELIN Stars","Worthy of a special journey",254.345,254.345,"Spain"
"32","El Celler de Can Roca","Girona","Creative",2.807927,41.9932026,"3 MICHELIN Stars","Worthy of a special journey",224.77,414.05,"Spain"
"33","Quique Dacosta","Dénia","Creative",0.0852209,38.8537884,"3 MICHELIN Stars","Worthy of a special journey",248.43,248.43,"Spain"
"34","Cenador de Amós","Villaverde de Pontones","Modern Cuisine",-3.6988243,43.4124884,"3 MICHELIN Stars","Worthy of a special journey",233.051,278.005,"Spain"
"35","DiverXO","Madrid","Creative",-3.6856715,40.4582913,"3 MICHELIN Stars","Worthy of a special journey",431.795,431.795,"Spain"
"36","Arzak","Donostia / San Sebastián","Creative, Traditional Cuisine",-1.9490932,43.3214016,"3 MICHELIN Stars","Worthy of a special journey",272.09,307.58,"Spain"
"37","Akelaŕe","Donostia / San Sebastián","Creative, Traditional Cuisine",-2.0731493,43.3027805,"3 MICHELIN Stars","Worthy of a special journey",283.92,283.92,"Spain"
"38","Lasarte","Barcelona","Creative",2.1622018,41.3936278,"3 MICHELIN Stars","Worthy of a special journey",207.025,295.75,"Spain"
"39","ABaC","Barcelona","Creative",2.1367664,41.4103822,"3 MICHELIN Stars","Worthy of a special journey",295.75,295.75,"Spain"
"40","L'OSIER","Tokyo","French",139.761233,35.6696524,"3 MICHELIN Stars","Worthy of a special journey",110.5,374,"Japan"
"41","Sazenka","Tokyo","Chinese",139.728395,35.649578,"3 MICHELIN Stars","Worthy of a special journey",289,620.5,"Japan"
"42","Kagurazaka Ishikawa","Tokyo","Japanese",139.739477,35.701185,"3 MICHELIN Stars","Worthy of a special journey",365.5,365.5,"Japan"
"43","Kanda","Tokyo","Japanese",139.748172,35.665976,"3 MICHELIN Stars","Worthy of a special journey",314.5,365.5,"Japan"
"44","L'Effervescence","Tokyo","French",139.719454,35.660299,"3 MICHELIN Stars","Worthy of a special journey",289,289,"Japan"
"45","Quintessence","Tokyo","French",139.7329477,35.6240721,"3 MICHELIN Stars","Worthy of a special journey",297.5,297.5,"Japan"
"46","Joël Robuchon","Tokyo","French",139.7144835,35.6418703,"3 MICHELIN Stars","Worthy of a special journey",195.5,459,"Japan"
"47","RyuGin","Tokyo","Japanese",139.759193,35.673583,"3 MICHELIN Stars","Worthy of a special journey",416.5,416.5,"Japan"
"48","Sushi Yoshitake","Tokyo","Sushi",139.761937,35.66894,"3 MICHELIN Stars","Worthy of a special journey",323,323,"Japan"
"49","Kohaku","Tokyo","Japanese",139.741008,35.700701,"3 MICHELIN Stars","Worthy of a special journey",365.5,365.5,"Japan"
"50","Gaon","SEOUL","Korean",127.03595,37.52265,"3 MICHELIN Stars","Worthy of a special journey",104,208,"South Korea"
"51","La Yeon","SEOUL","Korean",127.00517,37.555813,"3 MICHELIN Stars","Worthy of a special journey",87.2,224,"South Korea"
"52","Dal Pescatore","Runate","Modern Cuisine, Italian",10.3565788,45.1712728,"3 MICHELIN Stars","Worthy of a special journey",177.45,354.9,"Italy"
"53","Le Calandre","Rubano","Creative",11.8096633,45.4215425,"3 MICHELIN Stars","Worthy of a special journey",177.45,266.175,"Italy"
"54","Reale","Castel di Sangro","Creative, Contemporary",14.10107,41.77379,"3 MICHELIN Stars","Worthy of a special journey",201.11,260.26,"Italy"
"55","Osteria Francescana","Modena","Creative",10.9215518,44.6448099,"3 MICHELIN Stars","Worthy of a special journey",378.56,378.56,"Italy"
"56","Da Vittorio","Brusaporto","Modern Cuisine, Contemporary",9.7692511,45.6756778,"3 MICHELIN Stars","Worthy of a special journey",260.26,449.54,"Italy"
"57","St. Hubertus","San Cassiano","Creative, Alpine",11.9305901,46.5717631,"3 MICHELIN Stars","Worthy of a special journey",331.24,366.73,"Italy"
"58","Enrico Bartolini al Mudec","Milan","Creative, Innovative",9.161865,45.4516,"3 MICHELIN Stars","Worthy of a special journey",236.6,354.9,"Italy"
"59","Enoteca Pinchiorri","Florence","Modern Cuisine",11.2621974,43.770066,"3 MICHELIN Stars","Worthy of a special journey",177.45,408.135,"Italy"
"60","Piazza Duomo","Alba","Creative, Modern Cuisine",8.0359341,44.7005555,"3 MICHELIN Stars","Worthy of a special journey",319.41,354.9,"Italy"
"61","Uliassi","Senigallia","Creative, Seafood",13.2206503,43.7194609,"3 MICHELIN Stars","Worthy of a special journey",236.6,260.26,"Italy"
"62","La Pergola","Rome","Modern Cuisine, Contemporary",12.4461151,41.9187946,"3 MICHELIN Stars","Worthy of a special journey",295.75,343.07,"Italy"
"63","Kashiwaya","Osaka","Japanese",135.501289,34.770287,"3 MICHELIN Stars","Worthy of a special journey",110.5,365.5,"Japan"
"64","HAJIME","Osaka","Innovative",135.496058,34.688588,"3 MICHELIN Stars","Worthy of a special journey",340,459,"Japan"
"65","Isshisoden Nakamura","Kyoto","Japanese",135.765047,35.010347,"3 MICHELIN Stars","Worthy of a special journey",221,323,"Japan"
"66","Kikunoi Honten","Kyoto","Japanese",135.782028,35.00149,"3 MICHELIN Stars","Worthy of a special journey",144.5,544,"Japan"
"67","Gion Sasaki","Kyoto","Japanese",135.774997,34.998895,"3 MICHELIN Stars","Worthy of a special journey",68,314.5,"Japan"
"68","Mizai","Kyoto","Japanese",135.782364,35.002993,"3 MICHELIN Stars","Worthy of a special journey",425,425,"Japan"
"69","Hyotei","Kyoto","Japanese",135.786603,35.011328,"3 MICHELIN Stars","Worthy of a special journey",221,544,"Japan"
"70","The French Laundry","Yountville","Contemporary, French",-122.36474,38.40443,"3 MICHELIN Stars","Worthy of a special journey",350,450,"United States"
"71","SingleThread","Healdsburg","Contemporary, Californian",-122.8697229,38.6122599,"3 MICHELIN Stars","Worthy of a special journey",375,375,"United States"
"72","Manresa","Los Gatos","Contemporary, Californian",-121.98071,37.22761,"3 MICHELIN Stars","Worthy of a special journey",325,325,"United States"
"73","Atelier Crenn","San Francisco","Contemporary, French",-122.43586,37.79835,"3 MICHELIN Stars","Worthy of a special journey",298,298,"United States"
"74","Benu","San Francisco","Asian, Contemporary",-122.3990601,37.7853763,"3 MICHELIN Stars","Worthy of a special journey",350,350,"United States"
"75","Quince","San Francisco","Contemporary, Californian",-122.4032607,37.7975054,"3 MICHELIN Stars","Worthy of a special journey",360,360,"United States"
"76","Frantzén","Stockholm","Modern Cuisine",18.0597905,59.3341785,"3 MICHELIN Stars","Worthy of a special journey",380,380,"Sweden"
"77","Maaemo","Oslo","Modern Cuisine, Creative",10.7586363,59.9075293,"3 MICHELIN Stars","Worthy of a special journey",385,385,"Norway"
"78","Geranium","Copenhagen","Creative, Contemporary",12.5725289,55.7040847,"3 MICHELIN Stars","Worthy of a special journey",420,420,"Denmark"
"79","noma","Copenhagen","Creative",12.6106175,55.6833118,"3 MICHELIN Stars","Worthy of a special journey",420,420,"Denmark"
"80","Odette","Singapore","French Contemporary",103.8516,1.2896459,"3 MICHELIN Stars","Worthy of a special journey",217.54,275.94,"Singapore"
"81","Les Amis","Singapore","French",103.8314,1.3066648,"3 MICHELIN Stars","Worthy of a special journey",164.25,372.3,"Singapore"
"82","Zén","Singapore","European Contemporary",103.84042,1.2796271,"3 MICHELIN Stars","Worthy of a special journey",328.5,328.5,"Singapore"
"83","Eleven Madison Park","New York","Contemporary, Innovative",-73.9872414,40.7415543,"3 MICHELIN Stars","Worthy of a special journey",125,285,"United States"
"84","Per Se","New York","Contemporary, French",-73.9825882,40.7680545,"3 MICHELIN Stars","Worthy of a special journey",355,355,"United States"
"85","Masa","New York","Japanese, Sushi",-73.98234,40.76819,"3 MICHELIN Stars","Worthy of a special journey",595,595,"United States"
"86","Le Bernardin","New York","Seafood",-73.98223,40.76177,"3 MICHELIN Stars","Worthy of a special journey",93,228,"United States"
"87","Chef's Table at Brooklyn Fare","New York","Contemporary",-73.9964997,40.7560823,"3 MICHELIN Stars","Worthy of a special journey",395,395,"United States"
"88","Alinea","Chicago","Contemporary, Creative",-87.648174,41.9132737,"3 MICHELIN Stars","Worthy of a special journey",210,365,"United States"
"89","The Inn at Little Washington","Washington","American, French",-78.1595348,38.7134767,"3 MICHELIN Stars","Worthy of a special journey",238,238,"United States"
"90","Inter Scaldes","Kruiningen","Modern Cuisine",4.0241076,51.4571608,"3 MICHELIN Stars","Worthy of a special journey",195.195,449.54,"Netherlands"
"91","De Librije","Zwolle","Modern Cuisine",6.0980183,52.5153644,"3 MICHELIN Stars","Worthy of a special journey",274.456,274.456,"Netherlands"
"92","Restaurant de l'Hôtel de Ville","Crissier","Classic French",6.5766897,46.553994,"3 MICHELIN Stars","Worthy of a special journey",227.9,413.4,"Switzerland"
"93","Cheval Blanc by Peter Knogl","Basel","Classic French",7.5875706,47.5604261,"3 MICHELIN Stars","Worthy of a special journey",206.7,286.2,"Switzerland"
"94","Schloss Schauenstein","Fürstenau","Creative, Country cooking",9.4461607,46.7212336,"3 MICHELIN Stars","Worthy of a special journey",228.96,349.8,"Switzerland"
"95","Le Louis XV - Alain Ducasse à l'Hôtel de Paris","Monaco","Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,"3 MICHELIN Stars","Worthy of a special journey",224.77,449.54,"France"
"96","Assiette Champenoise","Reims","Creative",4.0040608,49.2476571,"3 MICHELIN Stars","Worthy of a special journey",171.535,396.305,"France"
"97","Les Prés d'Eugénie - Michel Guérard","Eugénie-les-Bains","Classic Cuisine",-0.379286,43.6967029,"3 MICHELIN Stars","Worthy of a special journey",313.495,348.985,"France"
"98","Georges Blanc","Vonnas","Classic Cuisine",4.989383,46.219982,"3 MICHELIN Stars","Worthy of a special journey",295.75,378.56,"France"
"99","La Vague d'Or - Cheval Blanc St-Tropez","Saint-Tropez","Creative, Modern Cuisine",6.6261535,43.2665849,"3 MICHELIN Stars","Worthy of a special journey",366.73,443.625,"France"
"100","Mirazur","Menton","Creative",7.5281451,43.7860241,"3 MICHELIN Stars","Worthy of a special journey",449.54,449.54,"France"
"101","René et Maxime Meilleur","Saint-Martin-de-Belleville","Creative, Regional Cuisine",6.5133065,45.3690463,"3 MICHELIN Stars","Worthy of a special journey",282.737,460.187,"France"
"102","Alléno Paris au Pavillon Ledoyen","Paris","Creative",2.3164993,48.8660932,"3 MICHELIN Stars","Worthy of a special journey",331.24,467.285,"France"
"103","Le 1947 - Cheval Blanc","Courchevel","Creative, Modern Cuisine",6.6338696,45.4094877,"3 MICHELIN Stars","Worthy of a special journey",419.965,467.285,"France"
"104","AM par Alexandre Mazzia","Marseille","Creative",5.3862325,43.2701104,"3 MICHELIN Stars","Worthy of a special journey",207.025,455.455,"France"
"105","Pic","Valence","Creative",4.8854965,44.9177848,"3 MICHELIN Stars","Worthy of a special journey",414.05,414.05,"France"
"106","Troisgros - Le Bois sans Feuilles","Ouches","Creative",3.99236,46.01033,"3 MICHELIN Stars","Worthy of a special journey",153.79,390.39,"France"
"107","Pierre Gagnaire","Paris","Creative",2.3003862,48.8732506,"3 MICHELIN Stars","Worthy of a special journey",141.96,473.2,"France"
"108","Le Pré Catelan","Paris","Creative, Modern Cuisine",2.2507182,48.8639374,"3 MICHELIN Stars","Worthy of a special journey",177.45,390.39,"France"
"109","L'Ambroisie","Paris","Classic Cuisine",2.3645215,48.855494,"3 MICHELIN Stars","Worthy of a special journey",390.39,390.39,"France"
"110","Épicure","Paris","Modern Cuisine",2.3143664,48.8717289,"3 MICHELIN Stars","Worthy of a special journey",366.73,449.54,"France"
"111","Christophe Bacquié","Le Castellet","Modern Cuisine",5.7835029,43.2502823,"3 MICHELIN Stars","Worthy of a special journey",307.58,348.985,"France"
"112","Maison Lameloise","Chagny","Modern Cuisine",4.7530169,46.9079964,"3 MICHELIN Stars","Worthy of a special journey",100.555,307.58,"France"
"113","Flocons de Sel","Megève","Creative",6.60007,45.82354,"3 MICHELIN Stars","Worthy of a special journey",248.43,331.24,"France"
"114","Le Cinq","Paris","Modern Cuisine",2.3008612,48.8687604,"3 MICHELIN Stars","Worthy of a special journey",449.54,449.54,"France"
"115","Guy Savoy","Paris","Creative",2.3391955,48.8566248,"3 MICHELIN Stars","Worthy of a special journey",295.75,626.99,"France"
"116","Auberge du Vieux Puits","Fontjoncouse","Creative",2.7893292,43.0481728,"3 MICHELIN Stars","Worthy of a special journey",230.685,266.175,"France"
"117","Arpège","Paris","Creative",2.3169648,48.855731,"3 MICHELIN Stars","Worthy of a special journey",218.855,544.18,"France"
"118","Kei","Paris","Modern Cuisine",2.3422847,48.8643947,"3 MICHELIN Stars","Worthy of a special journey",100.555,402.22,"France"
"119","L'Oustau de Baumanière","Les Baux-de-Provence","Modern Cuisine",4.7933262,43.7486439,"3 MICHELIN Stars","Worthy of a special journey",195.195,283.92,"France"
"120","Christopher Coutanceau","La Rochelle","Seafood",-1.1609135,46.1557284,"3 MICHELIN Stars","Worthy of a special journey",224.77,313.495,"France"
"121","Le Petit Nice","Marseille","Seafood",5.3521929,43.2803346,"3 MICHELIN Stars","Worthy of a special journey",212.94,508.69,"France"
"122","Régis et Jacques Marcon","Saint-Bonnet-le-Froid","Creative",4.43436,45.13956,"3 MICHELIN Stars","Worthy of a special journey",212.94,283.92,"France"
"123","Le Clos des Sens","Annecy","Creative",6.1442973,45.9180547,"3 MICHELIN Stars","Worthy of a special journey",175.084,281.554,"France"
"124","Zilte","Antwerpen","Creative",4.4049639,51.2287189,"3 MICHELIN Stars","Worthy of a special journey",230.685,390.39,"Belgium"
"125","Hof van Cleve","Kruishoutem","Creative",3.5098648,50.9039501,"3 MICHELIN Stars","Worthy of a special journey",348.985,626.99,"Belgium"
"126","Ösch Noir","Donaueschingen","Modern Cuisine, Classic Cuisine",8.5474271,47.9655266,"2 MICHELIN Stars","Worth a detour",171.535,230.685,"Germany"
"127","ES:SENZ","Grassau","Creative, Modern Cuisine",12.4656421,47.785695,"2 MICHELIN Stars","Worth a detour",177.45,242.515,"Germany"
"128","Luce d'Oro","Krün","Modern Cuisine, Creative",11.1869112,47.4620032,"2 MICHELIN Stars","Worth a detour",223.587,270.907,"Germany"
"129","Tohru in der Schreiberei","Munich","Modern Cuisine, Japanese Contemporary",11.5775303,48.1375661,"2 MICHELIN Stars","Worth a detour",289.835,289.835,"Germany"
"130","OPUS V","Mannheim","Modern Cuisine, Creative",8.4699546,49.4858598,"2 MICHELIN Stars","Worth a detour",128.947,218.855,"Germany"
"131","Lorenz Adlon Esszimmer","Berlin","Creative",13.380011,52.5159333,"2 MICHELIN Stars","Worth a detour",159.705,295.75,"Germany"
"132","Falco","Leipzig","Creative",12.3754206,51.3463665,"2 MICHELIN Stars","Worth a detour",117.117,309.946,"Germany"
"133","Söl'ring Hof","Rantum","Creative, Country cooking",8.2887697,54.8536822,"2 MICHELIN Stars","Worth a detour",253.162,335.972,"Germany"
"134","Obendorfers Eisvogel","Neunburg vorm Wald","Creative, Classic Cuisine",12.2619376,49.3383934,"2 MICHELIN Stars","Worth a detour",171.535,249.613,"Germany"
"135","etz","Nuremberg","Creative, Regional Cuisine",11.079949,49.4554627,"2 MICHELIN Stars","Worth a detour",248.43,248.43,"Germany"
"136","Steinheuers Restaurant Zur Alten Post","Bad Neuenahr-Ahrweiler","Classic French, Classic Cuisine",7.1642775,50.5509788,"2 MICHELIN Stars","Worth a detour",183.365,230.685,"Germany"
"137","Restaurant Heinz Winkler","Aschau im Chiemgau","Classic French",12.3217303,47.779365,"2 MICHELIN Stars","Worth a detour",124.215,248.43,"Germany"
"138","Haerlin","Hamburg","Creative French, Classic Cuisine",9.9914638,53.5554424,"2 MICHELIN Stars","Worth a detour",224.77,295.75,"Germany"
"139","Vendôme","Bergisch Gladbach","Creative, Classic French",7.1604778,50.9665691,"2 MICHELIN Stars","Worth a detour",283.92,337.155,"Germany"
"140","Speisemeisterei","Stuttgart","Modern Cuisine, International",9.2135508,48.7128772,"2 MICHELIN Stars","Worth a detour",176.267,223.587,"Germany"
"141","Tim Raue","Berlin","Asian, Creative",13.3933841,52.5070342,"2 MICHELIN Stars","Worth a detour",104.104,293.384,"Germany"
"142","CODA Dessert Dining","Berlin","Creative, Innovative",13.4274219,52.49014,"2 MICHELIN Stars","Worth a detour",115.934,195.195,"Germany"
"143","Rosin","Dorsten","Creative, Classic Cuisine",7.0132284,51.7191315,"2 MICHELIN Stars","Worth a detour",117.117,188.097,"Germany"
"144","Jante","Hanover","Creative, Modern Cuisine",9.7607489,52.3701441,"2 MICHELIN Stars","Worth a detour",171.535,189.28,"Germany"
"145","AUGUST","Augsburg","Creative",10.9126019,48.3710103,"2 MICHELIN Stars","Worth a detour",211.757,248.43,"Germany"
"146","Le Pavillon","Bad Peterstal","Classic French",8.25063,48.45741,"2 MICHELIN Stars","Worth a detour",169.169,223.587,"Germany"
"147","Le Moissonnier","Cologne","Creative French, Classic Cuisine",6.952216,50.9510495,"2 MICHELIN Stars","Worth a detour",130.13,195.195,"Germany"
"148","LOUIS restaurant","Saarlouis","Creative, French Contemporary",6.7552911,49.3172819,"2 MICHELIN Stars","Worth a detour",105.287,208.208,"Germany"
"149","100/200 Kitchen","Hamburg","Creative, Modern Cuisine",10.0285764,53.5374323,"2 MICHELIN Stars","Worth a detour",170.352,170.352,"Germany"
"150","bianc","Hamburg","Mediterranean Cuisine, Creative",9.9943521,53.5430154,"2 MICHELIN Stars","Worth a detour",224.77,224.77,"Germany"
"151","Ox & Klee","Cologne","Modern Cuisine, Creative",6.9657432,50.9274173,"2 MICHELIN Stars","Worth a detour",171.535,272.09,"Germany"
"152","Ophelia","Constance","Creative French, Classic Cuisine",9.1874594,47.6671426,"2 MICHELIN Stars","Worth a detour",224.77,283.92,"Germany"
"153","EssZimmer","Munich","Modern French, Creative",11.557409,48.1766707,"2 MICHELIN Stars","Worth a detour",212.94,325.325,"Germany"
"154","Horváth","Berlin","Creative",13.4206073,52.4964176,"2 MICHELIN Stars","Worth a detour",171.535,218.855,"Germany"
"155","Tantris","Munich","Classic French, Classic Cuisine",11.588259,48.1697565,"2 MICHELIN Stars","Worth a detour",177.45,348.985,"Germany"
"156","Gustav","Frankfurt on the Main","Creative, Market Cuisine",8.6704255,50.1207676,"2 MICHELIN Stars","Worth a detour",141.96,195.195,"Germany"
"157","Goldberg","Fellbach","Modern Cuisine, International",9.2726039,48.8088952,"2 MICHELIN Stars","Worth a detour",153.79,224.77,"Germany"
"158","Alexander Herrmann by Tobias Bätz","Wirsberg","Creative",11.6069241,50.1073707,"2 MICHELIN Stars","Worth a detour",223.587,259.077,"Germany"
"159","ammolite - The Lighthouse Restaurant","Rust","Modern Cuisine, Classic French",7.7251226,48.259724,"2 MICHELIN Stars","Worth a detour",140.777,199.927,"Germany"
"160","GästeHaus Klaus Erfort","Saarbrücken","Classic French",7.0076258,49.2295502,"2 MICHELIN Stars","Worth a detour",173.901,266.175,"Germany"
"161","Esplanade","Saarbrücken","Classic Cuisine, Mediterranean Cuisine",6.9996028,49.2349097,"2 MICHELIN Stars","Worth a detour",56.784,176.267,"Germany"
"162","Alois - Dallmayr Fine Dining","Munich","Modern French, Creative",11.5771486,48.1384394,"2 MICHELIN Stars","Worth a detour",92.274,207.025,"Germany"
"163","FACIL","Berlin","Creative, Contemporary",13.3737243,52.5090305,"2 MICHELIN Stars","Worth a detour",73.346,257.894,"Germany"
"164","Hirschen","Sulzburg","Classic French",7.7088806,47.8404612,"2 MICHELIN Stars","Worth a detour",240.149,348.985,"Germany"
"165","Le Cerf","Zweiflingen","Classic French",9.5258355,49.2436455,"2 MICHELIN Stars","Worth a detour",127.764,210.574,"Germany"
"166","Meierei Dirk Luther","Glücksburg","Classic Cuisine, Modern Cuisine",9.4999203,54.8225486,"2 MICHELIN Stars","Worth a detour",234.234,257.894,"Germany"
"167","PURS","Andernach","Modern Cuisine",7.3973426,50.4390106,"2 MICHELIN Stars","Worth a detour",230.685,289.835,"Germany"
"168","Courtier","Wangels","Creative, Classic Cuisine",10.7656888,54.3025337,"2 MICHELIN Stars","Worth a detour",199.927,259.077,"Germany"
"169","Atelier","Munich","Creative French",11.5735681,48.1402487,"2 MICHELIN Stars","Worth a detour",242.515,278.005,"Germany"
"170","Essigbrätlein","Nuremberg","Innovative, Market Cuisine",11.0747775,49.4551869,"2 MICHELIN Stars","Worth a detour",118.3,212.94,"Germany"
"171","Lafleur","Frankfurt on the Main","Modern French, Creative",8.6565825,50.1214911,"2 MICHELIN Stars","Worth a detour",242.515,266.175,"Germany"
"172","Liath","Blackrock","Creative",-6.1783698,53.3013717,"2 MICHELIN Stars","Worth a detour",76.895,153.79,"Ireland"
"173","Aimsir","Celbridge","Modern Cuisine",-6.5582175,53.2990793,"2 MICHELIN Stars","Worth a detour",248.43,248.43,"Ireland"
"174","Patrick Guilbaud","Dublin City","Modern French",-6.2529387,53.338467,"2 MICHELIN Stars","Worth a detour",94.64,266.175,"Ireland"
"175","Chapter One by Mickael Viljanen","Dublin City","Modern Cuisine",-6.2639708,53.354379,"2 MICHELIN Stars","Worth a detour",76.895,201.11,"Ireland"
"176","Ynyshir","Machynlleth","Creative",-3.9439501,52.5445284,"2 MICHELIN Stars","Worth a detour",412.5,412.5,"United Kingdom"
"177","Raby Hunt","Summerhouse","Modern British",-1.6893656,54.5665058,"2 MICHELIN Stars","Worth a detour",336.875,336.875,"United Kingdom"
"178","Andrew Fairlie at Gleneagles","Auchterarder","Modern French",-3.7517344,56.2832316,"2 MICHELIN Stars","Worth a detour",158.125,178.75,"United Kingdom"
"179","Le Manoir aux Quat' Saisons, a Belmond Hotel","Great Milton","French",-1.0915663,51.7169058,"2 MICHELIN Stars","Worth a detour",240.625,302.5,"United Kingdom"
"180","Restaurant Sat Bains","Nottingham","Creative",-1.1676041,52.9251069,"2 MICHELIN Stars","Worth a detour",213.125,268.125,"United Kingdom"
"181","Midsummer House","Cambridge","Creative",0.1284006,52.2120545,"2 MICHELIN Stars","Worth a detour",178.75,343.75,"United Kingdom"
"182","Moor Hall","Aughton","Creative British",-2.8919183,53.5423365,"2 MICHELIN Stars","Worth a detour",130.625,268.125,"United Kingdom"
"183","Hand and Flowers","Marlow","Modern British",-0.7836567,51.5696616,"2 MICHELIN Stars","Worth a detour",209,209,"United Kingdom"
"184","Le Gavroche","London","French",-0.1552575,51.5112997,"2 MICHELIN Stars","Worth a detour",170.5,244.75,"United Kingdom"
"185","La Dame de Pic London","London","Modern French",-0.0779535,51.5101629,"2 MICHELIN Stars","Worth a detour",151.25,268.125,"United Kingdom"
"186","Da Terra","London","Creative",-0.05607,51.530411,"2 MICHELIN Stars","Worth a detour",123.75,240.625,"United Kingdom"
"187","Ikoyi","London","Creative",-0.1334203,51.5091612,"2 MICHELIN Stars","Worth a detour",82.5,233.75,"United Kingdom"
"188","Story","London","Modern Cuisine",-0.077787,51.5028085,"2 MICHELIN Stars","Worth a detour",178.75,254.375,"United Kingdom"
"189","Dinner by Heston Blumenthal","London","Traditional British",-0.1599147,51.5021106,"2 MICHELIN Stars","Worth a detour",165,165,"United Kingdom"
"190","A. Wong","London","Chinese",-0.1406558,51.4930091,"2 MICHELIN Stars","Worth a detour",165,220,"United Kingdom"
