"","X","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min_Price...","Max_Price...","Country"
"118",118,"Kei","Paris","Modern Cuisine",2.3422847,48.8643947,"3 MICHELIN Stars","Worthy of a special journey",100.555,402.22,"France"
"119",119,"L'Oustau de Baumanière","Les Baux-de-Provence","Modern Cuisine",4.7933262,43.7486439,"3 MICHELIN Stars","Worthy of a special journey",195.195,283.92,"France"
"120",120,"Christopher Coutanceau","La Rochelle","Seafood",-1.1609135,46.1557284,"3 MICHELIN Stars","Worthy of a special journey",224.77,313.495,"France"
"121",121,"Le Petit Nice","Marseille","Seafood",5.3521929,43.2803346,"3 MICHELIN Stars","Worthy of a special journey",212.94,508.69,"France"
"122",122,"Régis et Jacques Marcon","Saint-Bonnet-le-Froid","Creative",4.43436,45.13956,"3 MICHELIN Stars","Worthy of a special journey",212.94,283.92,"France"
"123",123,"Le Clos des Sens","Annecy","Creative",6.1442973,45.9180547,"3 MICHELIN Stars","Worthy of a special journey",175.084,281.554,"France"
"450",450,"Auberge du Cheval Blanc","Lembach","Creative",7.7902036,49.003531,"2 MICHELIN Stars","Worth a detour",97.006,171.535,"France"
"451",451,"La Table d'Olivier Nasti","Kaysersberg","Creative",7.265581,48.1386233,"2 MICHELIN Stars","Worth a detour",195.195,283.92,"France"
"452",452,"La Table de l'Alpaga","Megève","Modern Cuisine",6.600987,45.8524843,"2 MICHELIN Stars","Worth a detour",153.79,224.77,"France"
"453",453,"Jean Sulpice","Talloires-Montmin","Creative",6.210745,45.839825,"2 MICHELIN Stars","Worth a detour",278.005,325.325,"France"
"454",454,"La Pyramide - Patrick Henriroux","Vienne","Modern Cuisine",4.8667852,45.516812,"2 MICHELIN Stars","Worth a detour",93.457,241.332,"France"
"455",455,"Le Montgomerie","Courchevel","Creative, Modern Cuisine",6.638027,45.40243,"2 MICHELIN Stars","Worth a detour",272.09,366.73,"France"
"456",456,"Serge Vieira","Chaudes-Aigues","Creative",3.0019755,44.8445059,"2 MICHELIN Stars","Worth a detour",153.79,254.345,"France"
"457",457,"Racine","Reims","Modern Cuisine",4.0375656,49.2528907,"2 MICHELIN Stars","Worth a detour",94.64,242.515,"France"
"458",458,"Sarkara","Courchevel","Creative",6.6387485,45.4121633,"2 MICHELIN Stars","Worth a detour",207.025,295.75,"France"
"459",459,"Au 14 Février","Saint-Amour-Bellevue","Creative",4.7492881,46.2420774,"2 MICHELIN Stars","Worth a detour",102.921,147.875,"France"
"460",460,"La Côte d'Or","Saulieu","Modern Cuisine",4.2321852,47.2797873,"2 MICHELIN Stars","Worth a detour",195.195,301.665,"France"
"461",461,"La Maison des Bois - Marc Veyrat","Manigod","Creative",6.3689627,45.8717894,"2 MICHELIN Stars","Worth a detour",348.985,467.285,"France"
"462",462,"Les Hauts de Loire","Onzain","Classic Cuisine",1.1432985,47.5088905,"2 MICHELIN Stars","Worth a detour",105.287,207.025,"France"
"463",463,"Michel Kayser - Restaurant Alexandre","Garons","Modern Cuisine",4.4224997,43.7682129,"2 MICHELIN Stars","Worth a detour",120.666,263.809,"France"
"464",464,"La Table de Pavie","Saint-Emilion","Modern Cuisine, Creative",-0.1567502,44.8935395,"2 MICHELIN Stars","Worth a detour",88.725,254.345,"France"
"465",465,"Le Kintessence","Courchevel","Modern Cuisine, Creative",6.6387314,45.4121683,"2 MICHELIN Stars","Worth a detour",295.75,414.05,"France"
"466",466,"Le Parc Les Crayères","Reims","Modern Cuisine",4.0517461,49.2410909,"2 MICHELIN Stars","Worth a detour",88.725,348.985,"France"
"467",467,"Maison Rostang","Paris","Classic Cuisine",2.2985338,48.8813365,"2 MICHELIN Stars","Worth a detour",106.47,240.149,"France"
"468",468,"La Scène","Paris","Modern Cuisine",2.3143813,48.8720257,"2 MICHELIN Stars","Worth a detour",88.725,295.75,"France"
"469",469,"Le Pré - Xavier Beaudiment","Clermont-Ferrand","Creative",3.0519431,45.7886787,"2 MICHELIN Stars","Worth a detour",53.235,212.94,"France"
"470",470,"La Côte Saint-Jacques","Joigny","Classic Cuisine",3.3853151,47.9833796,"2 MICHELIN Stars","Worth a detour",100.555,281.554,"France"
"471",471,"Le Clarence","Paris","Modern Cuisine",2.3098922,48.8675042,"2 MICHELIN Stars","Worth a detour",106.47,378.56,"France"
"472",472,"La Villa Archange","Le Cannet","Modern Cuisine",7.0143722,43.572701,"2 MICHELIN Stars","Worth a detour",106.47,414.05,"France"
"473",473,"Paul Bocuse","Collonges-au-Mont-d'Or","Classic Cuisine",4.8475623,45.8156437,"2 MICHELIN Stars","Worth a detour",230.685,348.985,"France"
"474",474,"Le Grand Restaurant - Jean-François Piège","Paris","Modern Cuisine",2.3193648,48.8701858,"2 MICHELIN Stars","Worth a detour",160.888,409.318,"France"
"475",475,"Le Neuvième Art","Lyon","Creative",4.8564194,45.767953,"2 MICHELIN Stars","Worth a detour",141.96,224.77,"France"
"476",476,"Le Pressoir d'Argent - Gordon Ramsay","Bordeaux","Modern Cuisine",-0.57461,44.84241,"2 MICHELIN Stars","Worth a detour",218.855,295.75,"France"
"477",477,"La Marine","L'Herbaudière","Creative, Seafood",-2.2997432,47.0238056,"2 MICHELIN Stars","Worth a detour",153.79,260.26,"France"
"478",478,"Hostellerie Jérôme","La Turbie","Mediterranean Cuisine",7.4002192,43.745144,"2 MICHELIN Stars","Worth a detour",164.437,218.855,"France"
"479",479,"Les Morainières","Jongieux","Creative, Modern Cuisine",5.7982975,45.7449451,"2 MICHELIN Stars","Worth a detour",175.084,260.26,"France"
"480",480,"Relais de la Poste","Magescq","Classic Cuisine",-1.2178012,43.7787609,"2 MICHELIN Stars","Worth a detour",82.81,177.45,"France"
"481",481,"Le Taillevent","Paris","Classic Cuisine",2.3024829,48.874195,"2 MICHELIN Stars","Worth a detour",106.47,295.75,"France"
"482",482,"L'Abysse au Pavillon Ledoyen","Paris","Japanese, Creative",2.3164988,48.8662069,"2 MICHELIN Stars","Worth a detour",115.934,378.56,"France"
"483",483,"Anne de Bretagne","La Plaine-sur-Mer","Creative",-2.2134222,47.1547317,"2 MICHELIN Stars","Worth a detour",59.15,201.11,"France"
"484",484,"David Toutain","Paris","Creative, Modern Cuisine",2.3097038,48.8602663,"2 MICHELIN Stars","Worth a detour",130.13,319.41,"France"
"485",485,"Château de Beaulieu - Christophe Dufossé","Busnes","Modern Cuisine",2.511812,50.582466,"2 MICHELIN Stars","Worth a detour",106.47,260.26,"France"
"486",486,"Le Puits St-Jacques","Pujaudran","Creative",1.1501235,43.590856,"2 MICHELIN Stars","Worth a detour",46.137,169.169,"France"
"487",487,"Les Cèdres","Granges-les-Beaumont","Classic Cuisine",4.9838433,45.0502101,"2 MICHELIN Stars","Worth a detour",136.045,212.94,"France"
"488",488,"Takao Takano","Lyon","Creative",4.8425758,45.7705183,"2 MICHELIN Stars","Worth a detour",59.15,189.28,"France"
"489",489,"Villa René Lalique","Wingen-sur-Moder","Creative, Modern Cuisine",7.365027,48.9185,"2 MICHELIN Stars","Worth a detour",106.47,272.09,"France"
"490",490,"Restaurant Le Meurice Alain Ducasse","Paris","Creative",2.3278399,48.86525,"2 MICHELIN Stars","Worth a detour",295.75,378.56,"France"
"491",491,"Le Chabichou by Stéphane Buron","Courchevel","Classic Cuisine",6.629984,45.41616,"2 MICHELIN Stars","Worth a detour",230.685,408.135,"France"
"492",492,"JY'S","Colmar","Creative",7.3521474,48.0755316,"2 MICHELIN Stars","Worth a detour",81.627,229.502,"France"
"493",493,"La Grenouillère","La Madelaine-sous-Montreuil","Modern Cuisine, Creative",1.75472,50.47092,"2 MICHELIN Stars","Worth a detour",183.365,254.345,"France"
"494",494,"Casadelmar","Porto-Vecchio","Modern Cuisine",9.3099771,41.5948102,"2 MICHELIN Stars","Worth a detour",224.77,319.41,"France"
"495",495,"La Table Lionel Giraud","Narbonne","Creative",2.9921269,43.1742548,"2 MICHELIN Stars","Worth a detour",94.64,171.535,"France"
"496",496,"La Fourchette des Ducs","Obernai","Creative",7.4882994,48.4621258,"2 MICHELIN Stars","Worth a detour",183.365,289.835,"France"
"497",497,"Sur Mesure par Thierry Marx","Paris","Creative",2.3269216,48.8671459,"2 MICHELIN Stars","Worth a detour",100.555,230.685,"France"
"498",498,"Py-r","Toulouse","Modern Cuisine",1.4408583,43.599313,"2 MICHELIN Stars","Worth a detour",92.274,115.934,"France"
"499",499,"Marsan par Hélène Darroze","Paris","Modern Cuisine",2.3278298,48.85008,"2 MICHELIN Stars","Worth a detour",112.385,496.86,"France"
"500",500,"Le Gabriel - La Réserve Paris","Paris","Modern Cuisine",2.3134422,48.8696576,"2 MICHELIN Stars","Worth a detour",88.725,230.685,"France"
"501",501,"La Palme d'Or","Cannes","Creative",7.0302834,43.5479133,"2 MICHELIN Stars","Worth a detour",198.744,307.58,"France"
"502",502,"Jean-Luc Tartarin","Le Havre","Modern Cuisine, Creative",0.1031042,49.493762,"2 MICHELIN Stars","Worth a detour",56.784,159.705,"France"
"503",503,"Le Coquillage","Cancale","Creative, Seafood",-1.8711232,48.6430654,"2 MICHELIN Stars","Worth a detour",112.385,195.195,"France"
"504",504,"L'Atelier d'Edmond","Val-d'Isère","Creative",7.0096222,45.4499856,"2 MICHELIN Stars","Worth a detour",68.614,248.43,"France"
"505",505,"Yoann Conte","Veyrier-du-Lac","Creative",6.1721665,45.8890126,"2 MICHELIN Stars","Worth a detour",212.94,390.39,"France"
"506",506,"La Villa Madie","Cassis","Creative, Mediterranean Cuisine",5.544944,43.2110889,"2 MICHELIN Stars","Worth a detour",165.62,295.75,"France"
"507",507,"Le Skiff Club","Pyla-sur-Mer","Modern Cuisine",-1.2068742,44.6063706,"2 MICHELIN Stars","Worth a detour",201.11,248.43,"France"
"508",508,"Michel Sarran","Toulouse","Creative",1.4345204,43.6072744,"2 MICHELIN Stars","Worth a detour",76.895,212.94,"France"
"509",509,"Auberge de l'Ill","Illhaeusern","Classic Cuisine",7.433164,48.1843767,"2 MICHELIN Stars","Worth a detour",141.96,292.201,"France"
"510",510,"William Frachot","Dijon","Creative",5.0356396,47.3212722,"2 MICHELIN Stars","Worth a detour",73.346,203.476,"France"
"511",511,"La Merise","Laubach","Modern Cuisine",7.7225409,48.8796819,"2 MICHELIN Stars","Worth a detour",93.457,185.731,"France"
"512",512,"L'Auberge des Glazicks","Plomodiern","Creative",-4.2351146,48.1804523,"2 MICHELIN Stars","Worth a detour",88.725,224.77,"France"
"513",513,"ex Maison Jeunet/Hôtel de Paris","Arbois","Creative",5.7726748,46.902792,"2 MICHELIN Stars","Worth a detour",76.895,183.365,"France"
"514",514,"Bras","Laguiole","Creative",2.8992347,44.678547,"2 MICHELIN Stars","Worth a detour",201.11,289.835,"France"
"515",515,"La Voile - La Réserve Ramatuelle","Ramatuelle","Modern Cuisine",6.6496163,43.1906565,"2 MICHELIN Stars","Worth a detour",189.28,248.43,"France"
"516",516,"La Table de Franck Putelat","Carcassonne","Modern Cuisine",2.36468,43.20386,"2 MICHELIN Stars","Worth a detour",88.725,272.09,"France"
"517",517,"La Chèvre d'Or","Èze","Creative",7.3620885,43.727378,"2 MICHELIN Stars","Worth a detour",159.705,331.24,"France"
"518",518,"La Maison d'à Côté","Montlivault","Modern Cuisine, Creative",1.4451819,47.6411034,"2 MICHELIN Stars","Worth a detour",67.431,257.894,"France"
"519",519,"Mère Brazier","Lyon","Classic Cuisine",4.8372034,45.7714309,"2 MICHELIN Stars","Worth a detour",106.47,354.9,"France"
"520",520,"La Grand'Vigne - Les Sources de Caudalie","Martillac","Modern Cuisine",-0.5572,44.73119,"2 MICHELIN Stars","Worth a detour",195.195,242.515,"France"
"521",521,"Maison Aribert","Uriage-les-Bains","Creative",5.8315479,45.1417394,"2 MICHELIN Stars","Worth a detour",136.045,230.685,"France"
"522",522,"Flaveur","Nice","Creative",7.2718302,43.7014072,"2 MICHELIN Stars","Worth a detour",118.3,236.6,"France"
"2241",2241,"La Table d'Antonio Salvatore au Rampoldi","Monaco","Italian, Creative",7.4278204,43.7404558,"1 MICHELIN Star","Very good cooking in its category",171.535,260.26,"France"
"2242",2242,"Yannick Alléno à l’Hôtel Hermitage Monte-Carlo","Monaco","Modern Cuisine, Creative",7.4258682,43.7384624,"1 MICHELIN Star","Very good cooking in its category",80.444,278.005,"France"
"2243",2243,"Le Blue Bay","Monaco","Creative",7.4379746,43.7488966,"1 MICHELIN Star","Very good cooking in its category",165.62,212.94,"France"
"2244",2244,"Yoshi","Monaco","Japanese",7.4279751,43.7408177,"1 MICHELIN Star","Very good cooking in its category",63.882,283.92,"France"
"2245",2245,"Le Grill","Monaco","Classic Cuisine",7.4271,43.7393665,"1 MICHELIN Star","Very good cooking in its category",82.81,248.43,"France"
"2246",2246,"Le Georges","Chartres","Modern Cuisine",1.4833258,48.4440945,"1 MICHELIN Star","Very good cooking in its category",69.797,146.692,"France"
"2247",2247,"Pages","Paris","Creative",2.296947,48.8711892,"1 MICHELIN Star","Very good cooking in its category",76.895,260.26,"France"
"2248",2248,"L'Arcane","Paris","Modern Cuisine",2.3418655,48.8893043,"1 MICHELIN Star","Very good cooking in its category",65.065,195.195,"France"
"2249",2249,"Hostellerie de Levernois","Levernois","Modern Cuisine",4.8783198,46.9926504,"1 MICHELIN Star","Very good cooking in its category",94.64,176.267,"France"
"2250",2250,"Trente-Trois","Paris","Modern Cuisine",2.3043999,48.8653078,"1 MICHELIN Star","Very good cooking in its category",80.444,139.594,"France"
"2251",2251,"L'Auberge de Bagatelle","Le Mans","Modern Cuisine",0.2359126,47.9990983,"1 MICHELIN Star","Very good cooking in its category",56.784,124.215,"France"
"2252",2252,"Mavrommatis","Paris","Greek",2.3511685,48.8404542,"1 MICHELIN Star","Very good cooking in its category",92.274,159.705,"France"
"2253",2253,"Reflet d'Obione","Montpellier","Modern Cuisine, Mediterranean Cuisine",3.8730585,43.6122155,"1 MICHELIN Star","Very good cooking in its category",41.405,112.385,"France"
"2254",2254,"Côté Jardin","Gien","Creative, Modern Cuisine",2.6296242,47.6803325,"1 MICHELIN Star","Very good cooking in its category",65.065,106.47,"France"
"2255",2255,"L'Ardoise du Marché","Boulleret","Modern Cuisine, Creative",2.874288,47.4239448,"1 MICHELIN Star","Very good cooking in its category",33.124,88.725,"France"
"2256",2256,"Le Duèze - Château de Mercuès","Mercuès","Modern Cuisine",1.3947504,44.4963194,"1 MICHELIN Star","Very good cooking in its category",165.62,218.855,"France"
"2257",2257,"Cyril Attrazic","Aumont-Aubrac","Modern Cuisine",3.2865534,44.717116,"1 MICHELIN Star","Very good cooking in its category",59.15,141.96,"France"
"2258",2258,"Le Saint-Estève","Le Tholonet","Modern Cuisine",5.50033,43.52346,"1 MICHELIN Star","Very good cooking in its category",159.705,218.855,"France"
"2259",2259,"Abri","Paris","Modern Cuisine",2.3492225,48.877819,"1 MICHELIN Star","Very good cooking in its category",53.235,82.81,"France"
"2260",2260,"Le Cénacle","Toulouse","Modern Cuisine",1.4413732,43.5994812,"1 MICHELIN Star","Very good cooking in its category",46.137,136.045,"France"
"2261",2261,"Le Vieux Logis","Trémolat","Modern Cuisine",0.8303765,44.8755922,"1 MICHELIN Star","Very good cooking in its category",70.98,165.62,"France"
"2262",2262,"L'Amaryllis","Saint-Rémy","Creative",4.8200267,46.7567708,"1 MICHELIN Star","Very good cooking in its category",47.32,153.79,"France"
"2263",2263,"Yoshinori","Paris","Modern Cuisine",2.3377712,48.8528439,"1 MICHELIN Star","Very good cooking in its category",59.15,177.45,"France"
"2264",2264,"À Contre Sens","Caen","Modern Cuisine",-0.3655578,49.1844865,"1 MICHELIN Star","Very good cooking in its category",36.673,85.176,"France"
"2265",2265,"Intuition","Saint-Lô","Modern Cuisine",-1.0985834,49.1144055,"1 MICHELIN Star","Very good cooking in its category",56.784,99.372,"France"
"2266",2266,"Le Restaurant du Cerisier","Lille","Modern Cuisine",3.0640904,50.6421148,"1 MICHELIN Star","Very good cooking in its category",65.065,130.13,"France"
"2267",2267,"The Marcel","Sète","Mediterranean Cuisine, Modern Cuisine",3.6981431,43.4026375,"1 MICHELIN Star","Very good cooking in its category",104.104,120.666,"France"
"2268",2268,"Têtedoie","Lyon","Creative",4.8233917,45.7590732,"1 MICHELIN Star","Very good cooking in its category",56.784,165.62,"France"
"2269",2269,"Au Vieux Couvent","Rhinau","Creative",7.7069474,48.3171291,"1 MICHELIN Star","Very good cooking in its category",46.137,170.352,"France"
"2270",2270,"Holen","Rennes","Market Cuisine",-1.676248,48.1083789,"1 MICHELIN Star","Very good cooking in its category",49.686,124.215,"France"
"2271",2271,"Dan B. - La Table de Ventabren","Ventabren","Modern Cuisine",5.29218,43.53894,"1 MICHELIN Star","Very good cooking in its category",83.993,159.705,"France"
"2272",2272,"La Chaumière","Dole","Creative",5.4951285,47.065097,"1 MICHELIN Star","Very good cooking in its category",94.64,141.96,"France"
"2273",2273,"La Mirande","Avignon","Modern Cuisine",4.8076612,43.9501365,"1 MICHELIN Star","Very good cooking in its category",106.47,224.77,"France"
"2274",2274,"Restaurant De Lauzun","Pézenas","Modern Cuisine",3.4120006,43.4828877,"1 MICHELIN Star","Very good cooking in its category",85.176,136.045,"France"
"2275",2275,"L'Épuisette","Marseille","Seafood",5.3503153,43.2857334,"1 MICHELIN Star","Very good cooking in its category",94.64,183.365,"France"
"2276",2276,"Jacques Faussat","Paris","Traditional Cuisine",2.3066708,48.8830027,"1 MICHELIN Star","Very good cooking in its category",53.235,134.862,"France"
"2277",2277,"Auberge de la Tour","Marcolès","Modern Cuisine",2.3518849,44.7814806,"1 MICHELIN Star","Very good cooking in its category",93.457,128.947,"France"
"2278",2278,"Shabour","Paris","Creative",2.3490797,48.8659204,"1 MICHELIN Star","Very good cooking in its category",75.712,113.568,"France"
"2279",2279,"NESO","Paris","Creative",2.3475262,48.876059,"1 MICHELIN Star","Very good cooking in its category",159.705,212.94,"France"
"2280",2280,"Le Chantecler","Nice","Modern Cuisine",7.2580223,43.694265,"1 MICHELIN Star","Very good cooking in its category",130.13,224.77,"France"
"2281",2281,"Le Quincangrogne","Dampmart","Modern Cuisine",2.735805,48.88381,"1 MICHELIN Star","Very good cooking in its category",53.235,112.385,"France"
"2282",2282,"Château de la Treyne","Lacave","Classic Cuisine",1.5253884,44.8494743,"1 MICHELIN Star","Very good cooking in its category",65.065,201.11,"France"
"2283",2283,"Auberge St-Jean","Saint-Jean-de-Blaignac","Creative",-0.1391379,44.8134003,"1 MICHELIN Star","Very good cooking in its category",73.346,104.104,"France"
"2284",2284,"Umami","Strasbourg","Creative",7.74322,48.5809,"1 MICHELIN Star","Very good cooking in its category",76.895,88.725,"France"
"2285",2285,"G.a. au Manoir de Rétival","Caudebec-en-Caux","Modern Cuisine, Creative",0.7330455,49.5250364,"1 MICHELIN Star","Very good cooking in its category",118.3,295.75,"France"
"2286",2286,"Brikéténia","Guéthary","Modern Cuisine",-1.6059286,43.41952,"1 MICHELIN Star","Very good cooking in its category",49.686,127.764,"France"
"2287",2287,"Jean-Claude Leclerc","Clermont-Ferrand","Modern Cuisine",3.0803939,45.7788281,"1 MICHELIN Star","Very good cooking in its category",47.32,141.96,"France"
"2288",2288,"Villa Salone","Salon-de-Provence","Modern Cuisine",5.0986066,43.64144,"1 MICHELIN Star","Very good cooking in its category",68.614,115.934,"France"
"2289",2289,"La Meynardie","Salignac-Eyvigues","Modern Cuisine",1.3056798,44.9916513,"1 MICHELIN Star","Very good cooking in its category",43.771,110.019,"France"
"2290",2290,"Aigue Marine","Tréguier","Creative",-3.2239981,48.7869465,"1 MICHELIN Star","Very good cooking in its category",33.124,141.96,"France"
"2291",2291,"Le Bec au Cauchois","Valmont","Creative",0.4911347,49.7447349,"1 MICHELIN Star","Very good cooking in its category",46.137,123.032,"France"
"2292",2292,"L'Éveil des Sens","Mayenne","Modern Cuisine",-0.6084258,48.3060431,"1 MICHELIN Star","Very good cooking in its category",33.124,97.006,"France"
"2293",2293,"La Table de Chaintré","Chaintré","Modern Cuisine",4.760257,46.2604625,"1 MICHELIN Star","Very good cooking in its category",49.686,81.627,"France"
"2294",2294,"L'Innocence","Paris","Modern Cuisine, Creative",2.3433247,48.8792269,"1 MICHELIN Star","Very good cooking in its category",52.052,112.385,"France"
"2295",2295,"Äponem - Auberge du Presbytère","Vailhan","Modern Cuisine",3.2988056,43.5544377,"1 MICHELIN Star","Very good cooking in its category",147.875,147.875,"France"
"2296",2296,"Auberge du Cellier","Montner","Modern Cuisine",2.6785143,42.7490993,"1 MICHELIN Star","Very good cooking in its category",24.843,100.555,"France"
"2297",2297,"L'Escarbille","Meudon","Modern Cuisine",2.2270933,48.8202241,"1 MICHELIN Star","Very good cooking in its category",49.686,98.189,"France"
"2298",2298,"L'Atelier Yssoirien","Issoire","Modern Cuisine",3.2503278,45.5418469,"1 MICHELIN Star","Very good cooking in its category",59.15,130.13,"France"
"2299",2299,"La Table des Frères Ibarboure","Bidart","Modern Cuisine",-1.598438,43.4181338,"1 MICHELIN Star","Very good cooking in its category",65.065,153.79,"France"
"2300",2300,"Tomy & Co","Paris","Modern Cuisine, Creative",2.3095202,48.8605434,"1 MICHELIN Star","Very good cooking in its category",73.346,100.555,"France"
"2301",2301,"Tour d'Argent","Paris","Modern Cuisine",2.3549236,48.8498353,"1 MICHELIN Star","Very good cooking in its category",130.13,449.54,"France"
"2302",2302,"Jean-Marc Pérochon","Bretignolles-sur-Mer","Modern Cuisine",-1.87165,46.61923,"1 MICHELIN Star","Very good cooking in its category",33.124,137.228,"France"
"2303",2303,"Restaurant H","Paris","Creative",2.3681125,48.8543827,"1 MICHELIN Star","Very good cooking in its category",88.725,112.385,"France"
"2304",2304,"Le Mas Bottero","Saint-Cannat","Modern Cuisine",5.3114,43.6173,"1 MICHELIN Star","Very good cooking in its category",35.49,106.47,"France"
"2305",2305,"L'Oiseau Bleu","Bordeaux","Modern Cuisine",-0.55304,44.844326,"1 MICHELIN Star","Very good cooking in its category",59.15,130.13,"France"
"2306",2306,"Kasbür","Monswiller","Modern Cuisine",7.3981789,48.7420925,"1 MICHELIN Star","Very good cooking in its category",41.405,136.045,"France"
"2307",2307,"Saisons","Écully","Modern Cuisine",4.7668974,45.7770468,"1 MICHELIN Star","Very good cooking in its category",70.98,165.62,"France"
"2308",2308,"Pastis","Montpellier","Modern Cuisine",3.8738324,43.6100075,"1 MICHELIN Star","Very good cooking in its category",47.32,67.431,"France"
"2309",2309,"Pierre","Mâcon","Classic Cuisine",4.8314285,46.3034378,"1 MICHELIN Star","Very good cooking in its category",42.588,127.764,"France"
"2310",2310,"Aida","Paris","Japanese",2.3186554,48.850275,"1 MICHELIN Star","Very good cooking in its category",331.24,331.24,"France"
"2311",2311,"L'Aspérule","Dijon","Modern Cuisine",5.044981,47.3248221,"1 MICHELIN Star","Very good cooking in its category",44.954,141.96,"France"
"2312",2312,"Le Patio","Arcachon","Modern Cuisine",-1.1480031,44.6568414,"1 MICHELIN Star","Very good cooking in its category",65.065,153.79,"France"
"2313",2313,"Entre Vigne et Garrigue","Pujaut","Modern Cuisine",4.77475,43.98619,"1 MICHELIN Star","Very good cooking in its category",104.104,159.705,"France"
"2314",2314,"Le Panoramique - Domaine de la Corniche","Rolleboise","Modern Cuisine",1.6099414,49.0237202,"1 MICHELIN Star","Very good cooking in its category",57.967,115.934,"France"
"2315",2315,"Les Fresques - Hôtel Royal","Évian-les-Bains","Modern Cuisine",6.5916589,46.3963209,"1 MICHELIN Star","Very good cooking in its category",94.64,171.535,"France"
"2316",2316,"U Santa Marina","Porto-Vecchio","Modern Cuisine",9.2803115,41.5309666,"1 MICHELIN Star","Very good cooking in its category",92.274,195.195,"France"
"2317",2317,"Quinsou","Paris","Creative",2.325489,48.8476485,"1 MICHELIN Star","Very good cooking in its category",49.686,144.326,"France"
"2318",2318,"L'Orchidée","Altkirch","Thai, Asian Contemporary",7.2400753,47.6249671,"1 MICHELIN Star","Very good cooking in its category",65.065,112.385,"France"
"2319",2319,"L'Arbre au Soleil","Le Lavandou","Modern Cuisine",6.37491,43.1372393,"1 MICHELIN Star","Very good cooking in its category",69.797,128.947,"France"
